timestamp,frame_index,source_mode,tracker_source,event,tracking_active,tracker_ok,bbox_x,bbox_y,bbox_w,bbox_h,gt_x,gt_y,gt_w,gt_h,error_x,error_y,area_ratio,iou,center_error,planned_lr,planned_fb,planned_ud,planned_yaw,sent_lr,sent_fb,sent_ud,sent_yaw,flying,battery_level,processing_ms
2026-03-30T18:13:00.851,1,sequence,init,auto_initialized,True,True,352,241,28,76,352,241,28,76,46.0,39.0,1.0,1.0,0.0,0,0,-7,10,0,0,0,0,False,-1,20.497
2026-03-30T18:13:00.945,2,sequence,consensus,,True,True,351,235,28,76,352,241,28,76,45.0,33.0,1.0,0.798817,6.082763,0,0,-6,9,0,0,0,0,False,-1,59.081
2026-03-30T18:13:00.996,3,sequence,consensus,,True,True,352,238,26,72,352,241,28,76,45.0,34.0,0.879699,0.813237,5.09902,0,10,-6,9,0,0,0,0,False,-1,49.452
2026-03-30T18:13:01.041,4,sequence,consensus,,True,True,351,240,26,72,352,241,28,76,44.0,36.0,0.879699,0.797753,3.605551,0,10,-7,9,0,0,0,0,False,-1,42.93
2026-03-30T18:13:01.087,5,sequence,consensus,,True,True,351,240,26,72,352,241,28,76,44.0,36.0,0.879699,0.797753,3.605551,0,10,-7,9,0,0,0,0,False,-1,44.644
2026-03-30T18:13:01.136,6,sequence,consensus,,True,True,355,246,28,76,354,242,28,77,49.0,44.0,1.0,0.85214,3.640055,0,0,-8,10,0,0,0,0,False,-1,47.384
2026-03-30T18:13:01.192,7,sequence,consensus,,True,True,355,246,28,76,354,243,28,77,49.0,44.0,1.0,0.874016,2.692582,0,0,-8,10,0,0,0,0,False,-1,54.482
2026-03-30T18:13:01.245,8,sequence,consensus,,True,True,357,248,28,76,357,245,28,77,51.0,46.0,1.0,0.936709,2.5,0,0,-9,11,0,0,0,0,False,-1,50.997
2026-03-30T18:13:01.297,9,sequence,consensus,,True,True,360,250,28,77,359,247,29,77,54.0,48.5,1.013158,0.89426,3.041381,0,0,-9,11,0,0,0,0,False,-1,50.356
2026-03-30T18:13:01.358,10,sequence,consensus,,True,True,362,252,28,77,362,249,29,78,56.0,50.5,1.013158,0.905953,2.54951,0,0,-10,12,0,0,0,0,False,-1,58.893
2026-03-30T18:13:01.413,11,sequence,consensus,,True,True,364,253,28,78,363,250,30,79,58.0,52.0,1.026316,0.877164,2.5,0,0,-10,12,0,0,0,0,False,-1,52.872
2026-03-30T18:13:01.464,12,sequence,consensus,,True,True,367,255,28,78,365,251,30,79,61.0,54.0,1.026316,0.855746,3.640055,0,0,-10,13,0,0,0,0,False,-1,48.992
2026-03-30T18:13:01.522,13,sequence,consensus,,True,True,369,255,29,80,366,252,32,80,63.5,55.0,1.090226,0.843597,3.354102,0,0,-11,13,0,0,0,0,False,-1,55.976
2026-03-30T18:13:01.578,14,sequence,consensus,,True,True,371,257,29,80,368,253,32,80,65.5,57.0,1.090226,0.823617,4.272002,0,0,-11,14,0,0,0,0,False,-1,53.709
2026-03-30T18:13:01.631,15,sequence,consensus,,True,True,373,258,29,80,371,254,33,80,67.5,58.0,1.090226,0.79971,4.0,0,0,-11,14,0,0,0,0,False,-1,51.241
2026-03-30T18:13:01.682,16,sequence,consensus,,True,True,376,259,28,75,373,255,34,80,70.0,56.5,0.986842,0.772059,1.5,0,0,-11,15,0,0,0,0,False,-1,49.704
2026-03-30T18:13:01.731,17,sequence,consensus,,True,True,375,257,30,81,374,255,35,81,70.0,57.5,1.141917,0.818653,2.5,0,-12,-11,15,0,0,0,0,False,-1,47.054
2026-03-30T18:13:01.783,18,sequence,consensus,,True,True,377,259,30,82,376,256,37,83,72.0,60.0,1.156015,0.766528,3.535534,0,-14,-12,15,0,0,0,0,False,-1,50.411
2026-03-30T18:13:01.833,19,sequence,consensus,,True,True,380,262,30,81,378,257,38,85,75.0,62.5,1.141917,0.736196,3.605551,0,-12,-12,16,0,0,0,0,False,-1,48.34
2026-03-30T18:13:01.879,20,sequence,consensus,,True,True,381,267,30,81,379,257,38,85,76.0,67.5,1.141917,0.659824,8.246211,0,-12,-13,16,0,0,0,0,False,-1,43.935
2026-03-30T18:13:01.932,21,sequence,consensus,,True,True,382,266,30,81,380,258,38,85,77.0,66.5,1.141917,0.689552,6.324555,0,-12,-13,16,0,0,0,0,False,-1,49.686
2026-03-30T18:13:01.981,22,sequence,consensus,,True,True,382,266,30,82,381,259,38,85,77.0,67.0,1.156015,0.698507,6.264982,0,-14,-13,16,0,0,0,0,False,-1,46.57
2026-03-30T18:13:02.034,23,sequence,consensus,,True,True,384,267,30,82,382,259,38,86,79.0,68.0,1.156015,0.690673,6.324555,0,-14,-13,17,0,0,0,0,False,-1,51.529
2026-03-30T18:13:02.089,24,sequence,consensus,,True,True,386,267,30,82,384,259,37,87,81.0,68.0,1.156015,0.716228,5.700877,0,-14,-13,17,0,0,0,0,False,-1,52.82
2026-03-30T18:13:02.138,25,sequence,consensus,,True,True,388,268,30,81,386,259,36,89,83.0,68.5,1.141917,0.742115,5.09902,0,-12,-13,18,0,0,0,0,False,-1,47.45
2026-03-30T18:13:02.189,26,sequence,consensus,,True,True,389,268,33,89,388,259,36,89,85.5,72.5,1.380169,0.75407,9.013878,0,-30,-14,18,0,0,0,0,False,-1,48.752
2026-03-30T18:13:02.242,27,sequence,consensus,,True,True,391,264,32,88,389,258,38,91,87.0,68.0,1.323308,0.765335,4.609772,0,-29,-13,19,0,0,0,0,False,-1,50.764
2026-03-30T18:13:02.289,28,sequence,consensus,,True,True,395,269,32,88,390,258,38,91,91.0,73.0,1.323308,0.689284,9.708244,0,-29,-14,20,0,0,0,0,False,-1,45.884
2026-03-30T18:13:02.336,29,sequence,consensus,,True,True,392,269,33,89,392,259,38,92,88.5,73.5,1.380169,0.726053,8.860023,0,-30,-14,19,0,0,0,0,False,-1,45.104
2026-03-30T18:13:02.384,30,sequence,consensus,,True,True,394,268,33,90,394,259,38,93,90.5,73.0,1.395677,0.742765,7.905694,0,-30,-14,19,0,0,0,0,False,-1,45.985
